,Date,Low,High,Price,Open,Vol.
286,4/1/24,164.07,178.33,165,171.2,68.15M
285,3/1/24,168.49,180.53,171.48,179.55,1.43B
284,2/1/24,179.25,191.05,180.75,183.99,1.16B
283,1/1/24,180.17,196.38,184.4,187.15,1.19B
282,12/1/23,187.45,199.62,192.53,190.33,1.06B
281,11/1/23,170.12,192.93,189.95,171,1.10B
280,10/1/23,165.67,182.34,170.77,171.22,1.17B
279,9/1/23,167.62,189.98,171.21,189.49,1.34B
278,8/1/23,171.96,196.73,187.87,196.24,1.32B
277,7/1/23,186.6,198.23,196.45,193.78,996.37M
276,6/1/23,176.93,194.48,193.97,177.7,1.30B
275,5/1/23,164.31,179.35,177.25,169.28,1.28B
274,4/1/23,159.78,169.85,169.68,164.27,969.78M
273,3/1/23,143.9,165,164.9,146.83,1.52B
272,2/1/23,141.32,157.38,147.41,143.97,1.31B
271,1/1/23,124.17,147.23,144.29,130.28,1.44B
270,12/1/22,125.87,150.92,129.93,148.21,1.68B
269,11/1/22,134.38,155.45,148.03,155.08,1.72B
268,10/1/22,134.37,157.5,153.34,138.21,1.87B
267,9/1/22,138,164.26,138.2,156.64,2.08B
266,8/1/22,157.14,176.15,157.22,161.01,1.51B
265,7/1/22,135.66,163.63,162.51,136.04,1.45B
264,6/1/22,129.04,151.74,136.72,149.9,1.75B
263,5/1/22,132.61,166.48,148.84,156.71,2.40B
262,4/1/22,155.38,178.49,157.65,174.03,1.69B
261,3/1/22,150.1,179.61,174.61,164.7,2.18B
260,2/1/22,152,176.65,165.12,174.01,1.63B
259,1/1/22,154.7,182.94,174.78,177.83,2.11B
258,12/1/21,157.8,182.13,177.57,167.48,2.45B
257,11/1/21,147.48,165.7,165.3,148.99,1.69B
256,10/1/21,138.27,153.16,149.8,141.9,1.57B
255,9/1/21,141.27,157.26,141.5,152.83,1.80B
254,8/1/21,144.5,153.49,151.83,146.36,1.46B
253,7/1/21,135.76,150,145.86,136.6,1.92B
252,6/1/21,123.13,137.41,136.96,125.08,1.61B
251,5/1/21,122.25,134.07,124.61,132.04,1.71B
250,4/1/21,122.49,137.07,131.46,123.66,1.89B
249,3/1/21,116.21,128.72,122.15,123.75,2.65B
248,2/1/21,118.39,137.88,121.26,133.75,1.83B
247,1/1/21,126.38,145.09,131.96,133.52,2.24B
246,12/1/20,120.01,138.79,132.69,121.01,2.32B
245,11/1/20,107.32,121.99,119.05,109.11,2.12B
244,10/1/20,107.72,125.39,108.86,117.64,2.90B
243,9/1/20,103.1,137.98,115.81,132.76,3.89B
242,8/1/20,107.89,131,129.04,108.2,4.07B
241,7/1/20,89.14,106.42,106.26,91.28,3.02B
240,6/1/20,79.3,93.1,91.2,79.44,3.24B
239,5/1/20,71.46,81.06,79.49,71.56,2.81B
238,4/1/20,59.22,73.63,73.45,61.63,3.27B
237,3/1/20,53.15,76,63.57,70.57,6.28B
236,2/1/20,64.09,81.81,68.34,76.07,3.02B
235,1/1/20,73.19,81.96,77.38,74.06,2.94B
234,12/1/19,64.07,73.49,73.41,66.82,2.40B
233,11/1/19,62.29,67,66.81,62.38,1.80B
232,10/1/19,53.78,62.44,62.19,56.27,2.49B
231,9/1/19,51.06,56.6,55.99,51.61,2.19B
230,8/1/19,48.15,54.51,52.19,53.47,2.73B
229,7/1/19,49.6,55.34,53.26,50.79,1.90B
228,6/1/19,42.57,50.39,49.48,43.9,2.06B
227,5/1/19,43.75,53.83,43.77,52.47,2.96B
226,4/1/19,47.1,52.12,50.17,47.91,2.02B
225,3/1/19,42.38,49.42,47.49,43.57,2.60B
224,2/1/19,41.48,43.97,43.29,41.74,1.89B
223,1/1/19,35.5,42.25,41.61,38.72,3.31B
222,12/1/18,36.65,46.24,39.44,46.12,3.60B
221,11/1/18,42.56,55.59,44.65,54.76,3.85B
220,10/1/18,51.52,58.37,54.72,56.99,3.16B
219,9/1/18,53.83,57.42,56.44,57.1,2.72B
218,8/1/18,49.33,57.22,56.91,49.78,2.80B
217,7/1/18,45.85,48.99,47.57,45.96,1.58B
216,6/1/18,45.18,48.55,46.28,47,2.11B
215,5/1/18,41.32,47.59,46.72,41.6,2.48B
214,4/1/18,40.16,44.73,41.31,41.97,2.67B
213,3/1/18,41.24,45.88,41.94,44.63,2.85B
212,2/1/18,37.56,45.15,44.53,41.79,3.71B
211,1/1/18,41.17,45.03,41.86,42.54,2.64B
210,12/1/17,41.62,44.3,42.31,42.49,2.12B
209,11/1/17,41.32,44.06,42.96,42.47,2.40B
208,10/1/17,38.12,42.41,42.26,38.56,2.02B
207,9/1/17,37.29,41.24,38.53,41.2,2.72B
206,8/1/17,37.1,41.13,41,37.28,2.64B
205,7/1/17,35.6,38.5,37.18,36.22,1.69B
204,6/1/17,35.55,38.99,36.01,38.29,2.74B
203,5/1/17,36.07,39.16,38.19,36.28,2.62B
202,4/1/17,35.01,36.37,35.91,35.93,1.49B
201,3/1/17,34.26,36.13,35.92,34.47,2.25B
200,2/1/17,31.75,34.37,34.25,31.76,2.30B
199,1/1/17,28.69,30.61,30.34,28.95,2.25B
198,12/1/16,27.06,29.5,28.95,27.59,2.44B
197,11/1/16,26.02,28.44,27.63,28.36,2.89B
196,10/1/16,28.07,29.67,28.39,28.18,2.75B
195,9/1/16,25.63,29.05,28.26,26.53,3.88B
194,8/1/16,26,27.56,26.52,26.1,2.52B
193,7/1/16,23.59,26.14,26.05,23.87,2.74B
192,6/1/16,22.88,25.47,23.9,24.75,3.12B
191,5/1/16,22.37,25.18,24.97,23.49,3.60B
190,4/1/16,23.13,28.1,23.43,27.19,3.49B
189,3/1/16,24.35,27.6,27.25,24.41,2.98B
188,2/1/16,23.15,24.72,24.17,24.12,3.24B
187,1/1/16,23.1,26.46,24.33,25.65,5.09B
186,12/1/15,26.2,29.97,26.32,29.69,3.69B
185,11/1/15,27.75,30.95,29.58,29.97,3.00B
184,10/1/15,26.83,30.31,29.88,27.27,4.45B
183,9/1/15,26.84,29.22,27.58,27.54,4.83B
182,8/1/15,23,30.64,28.19,30.38,6.43B
181,7/1/15,29.81,33.24,30.33,31.73,4.23B
180,6/1/15,31.12,32.85,31.36,32.8,3.51B
179,5/1/15,30.84,33.24,32.57,31.52,3.82B
178,4/1/15,30.77,33.63,31.29,31.2,3.98B
177,3/1/15,30.41,32.57,31.11,32.31,4.55B
176,2/1/15,29.02,33.4,32.12,29.51,4.55B
175,1/1/15,26.16,30,29.29,27.85,5.22B
174,12/1/14,26.57,29.81,27.59,29.7,4.30B
173,11/1/14,26.93,29.94,29.73,27.06,3.28B
172,10/1/14,23.8,27.01,27,25.15,5.44B
171,9/1/14,24.03,25.93,25.19,25.76,6.11B
170,8/1/14,23.32,25.73,25.63,23.73,3.75B
169,7/1/14,23.14,24.86,23.9,23.38,4.14B
168,6/1/14,22.23,23.76,23.23,22.64,4.83B
167,5/1/14,20.73,23.01,22.61,21.14,5.74B
166,4/1/14,18.26,21.41,21.07,19.21,6.44B
165,3/1/14,18.67,19.61,19.17,18.69,5.01B
164,2/1/14,17.83,19.69,18.79,17.95,5.89B
163,1/1/14,17.63,20.01,17.88,19.85,8.81B
162,12/1/13,19.24,20.54,20.04,19.93,7.06B
161,11/1/13,18.3,19.94,19.86,18.71,5.23B
160,10/1/13,17.08,19.26,18.67,17.09,7.84B
159,9/1/13,15.97,18.14,17.03,17.61,8.64B
158,8/1/13,16.19,18.35,17.4,16.28,8.06B
157,7/1/13,14.33,16.33,16.16,14.38,6.54B
156,6/1/13,13.89,16.23,14.16,16.1,7.02B
155,5/1/13,14.96,16.63,16.06,15.87,9.45B
154,4/1/13,13.75,15.9,15.81,15.78,10.97B
153,3/1/13,14.96,16.78,15.81,15.64,9.18B
152,2/1/13,15.63,17.32,15.76,16.4,9.34B
151,1/1/13,15.54,19.82,16.27,19.78,13.12B
150,12/1/12,17.9,21.24,19.01,21.2,12.14B
149,11/1/12,18.06,21.54,20.9,21.36,12.93B
148,10/1/12,20.99,24.17,21.26,23.97,12.14B
147,9/1/12,23.43,25.18,23.83,23.78,9.20B
146,8/1/12,21.44,24.32,23.76,22,8.28B
145,7/1/12,20.36,22.14,21.81,20.88,8.91B
144,6/1/12,19.59,21.07,20.86,20.33,7.86B
143,5/1/12,18.65,21.31,20.63,20.89,11.11B
142,4/1/12,19.82,23,20.86,21.49,15.60B
141,3/1/12,18.44,22.19,21.41,19.58,15.58B
140,2/1/12,16.21,19.56,19.37,16.37,11.37B
139,1/1/12,14.61,16.37,16.3,14.62,6.86B
138,12/1/11,13.49,14.61,14.46,13.66,6.31B
137,11/1/11,12.98,14.57,13.65,14.19,8.97B
136,10/1/11,12.65,15.24,14.46,13.58,13.14B
135,9/1/11,13.09,15.1,13.62,13.78,11.98B
134,8/1/11,12.61,14.27,13.74,14.21,16.14B
133,7/1/11,11.94,14.45,13.95,12,10.65B
132,6/1/11,11.09,12.58,11.99,12.46,9.27B
131,5/1/11,11.76,12.57,12.42,12.49,6.91B
130,4/1/11,11.43,12.68,12.5,12.54,9.25B
129,3/1/11,11.65,12.92,12.45,12.7,11.30B
128,2/1/11,12.06,13.03,12.61,12.19,9.30B
127,1/1/11,11.6,12.45,12.12,11.63,10.84B
126,12/1/10,11.25,11.67,11.52,11.26,6.98B
125,11/1/10,10.63,11.47,11.11,10.79,9.51B
124,10/1/10,9.92,11.39,10.75,10.22,12.25B
123,9/1/10,8.8,10.53,10.13,8.84,11.85B
122,8/1/10,8.41,9.44,8.68,9.3,9.59B
121,7/1/10,8.56,9.5,9.19,9.08,15.67B
120,6/1/10,8.65,9.96,8.98,9.27,16.65B
119,5/1/10,7.12,9.57,9.17,9.42,18.08B
118,4/1/10,8.31,9.73,9.32,8.48,12.37B
117,3/1/10,7.34,8.48,8.39,7.35,12.16B
116,2/1/10,6.82,7.33,7.31,6.87,10.78B
115,1/1/10,6.79,7.7,6.86,7.62,15.17B
114,12/1/09,6.74,7.64,7.53,7.22,11.40B
113,11/1/09,6.63,7.43,7.14,6.78,8.46B
112,10/1/09,6.45,7.45,6.73,6.62,12.96B
111,9/1/09,5.86,6.75,6.62,6,9.99B
110,8/1/09,5.69,6.16,6.01,5.9,8.17B
109,7/1/09,4.8,5.89,5.84,5.12,10.94B
108,6/1/09,4.75,5.23,5.09,4.87,12.68B
107,5/1/09,4.26,4.85,4.85,4.49,9.46B
106,4/1/09,3.71,4.54,4.49,3.72,11.82B
105,3/1/09,2.94,3.93,3.75,3.15,15.43B
104,2/1/09,3.09,3.68,3.19,3.18,13.87B
103,1/1/09,2.79,3.47,3.22,3.07,18.23B
102,12/1/08,3.02,3.7,3.05,3.26,20.29B
101,11/1/08,2.83,3.99,3.31,3.78,23.63B
100,10/1/08,3.04,4.16,3.84,4,41.45B
99,9/1/08,3.59,6.2,4.06,6.16,24.07B
98,8/1/08,5.46,6.44,6.05,5.71,13.09B
97,7/1/08,5.23,6.46,5.68,5.87,19.75B
96,6/1/08,5.86,6.78,5.98,6.74,19.48B
95,5/1/08,6.14,6.87,6.74,6.25,18.59B
94,4/1/08,5.13,6.43,6.21,5.22,22.79B
93,3/1/08,4.21,5.2,5.12,4.44,22.93B
92,2/1/08,4.12,4.88,4.46,4.87,24.87B
91,1/1/08,4.5,7.15,4.83,7.12,35.19B
90,12/1/07,6.32,7.25,7.07,6.49,17.26B
89,11/1/07,5.38,6.88,6.51,6.74,26.20B
88,10/1/07,5.46,6.79,6.78,5.52,23.28B
87,9/1/07,4.64,5.54,5.48,5,20.93B
86,8/1/07,3.99,4.99,4.95,4.77,24.37B
85,7/1/07,4.26,5.32,4.71,4.32,24.18B
84,6/1/07,4.12,4.56,4.36,4.32,23.32B
83,5/1/07,3.52,4.36,4.33,3.56,17.39B
82,4/1/07,3.2,3.66,3.56,3.36,13.52B
81,3/1/07,2.99,3.46,3.32,3,15.94B
80,2/1/07,2.96,3.24,3.02,3.08,13.75B
79,1/1/07,2.92,3.49,3.06,3.08,27.28B
78,12/1/06,2.74,3.3,3.03,3.28,16.94B
77,11/1/06,2.78,3.33,3.27,2.9,13.85B
76,10/1/06,2.59,2.95,2.9,2.68,14.41B
75,9/1/06,2.42,2.78,2.75,2.45,17.74B
74,8/1/06,2.23,2.5,2.42,2.4,17.90B
73,7/1/06,1.79,2.45,2.43,2.05,17.50B
72,6/1/06,1.98,2.25,2.05,2.14,17.96B
71,5/1/06,2.1,2.64,2.13,2.53,15.62B
70,4/1/06,2.18,2.57,2.51,2.27,20.13B
69,3/1/06,2.06,2.5,2.24,2.46,23.20B
68,2/1/06,2.25,2.73,2.45,2.68,18.77B
67,1/1/06,2.53,3.09,2.7,2.58,21.90B
66,12/1/05,2.46,2.69,2.57,2.46,13.07B
65,11/1/05,2.03,2.54,2.42,2.04,13.47B
64,10/1/05,1.71,2.07,2.06,1.93,18.69B
63,9/1/05,1.65,1.95,1.91,1.68,12.36B
62,8/1/05,1.5,1.73,1.67,1.52,9.46B
61,7/1/05,1.3,1.58,1.52,1.32,10.23B
60,6/1/05,1.27,1.46,1.31,1.42,11.43B
59,5/1/05,1.18,1.46,1.42,1.29,12.92B
58,4/1/05,1.21,1.59,1.29,1.5,19.48B
57,3/1/05,1.39,1.61,1.49,1.61,14.73B
56,2/1/05,1.37,1.62,1.6,1.38,21.49B
55,1/1/05,1.12,1.39,1.37,1.16,25.87B
54,12/1/04,1.1,1.21,1.15,1.21,16.02B
53,11/1/04,0.93,1.24,1.2,0.94,17.46B
52,10/1/04,0.67,0.95,0.94,0.7,16.15B
51,9/1/04,0.61,0.7,0.69,0.61,7.69B
50,8/1/04,0.53,0.63,0.62,0.56,8.01B
49,7/1/04,0.51,0.6,0.58,0.57,9.72B
48,6/1/04,0.49,0.61,0.58,0.5,8.28B
47,5/1/04,0.46,0.51,0.5,0.46,5.31B
46,4/1/04,0.46,0.53,0.46,0.48,8.94B
45,3/1/04,0.42,0.5,0.48,0.43,11.64B
44,2/1/04,0.39,0.43,0.43,0.4,4.93B
43,1/1/04,0.38,0.44,0.4,0.38,7.94B
42,12/1/03,0.34,0.39,0.38,0.38,5.47B
41,11/1/03,0.35,0.42,0.37,0.41,4.98B
40,10/1/03,0.36,0.45,0.41,0.37,7.05B
39,9/1/03,0.36,0.42,0.37,0.4,5.36B
38,8/1/03,0.35,0.41,0.4,0.37,4.31B
37,7/1/03,0.33,0.39,0.38,0.34,5.23B
36,6/1/03,0.3,0.35,0.34,0.32,6.13B
35,5/1/03,0.25,0.34,0.32,0.25,10.83B
34,4/1/03,0.23,0.27,0.25,0.25,7.80B
33,3/1/03,0.25,0.27,0.25,0.27,3.99B
32,2/1/03,0.25,0.27,0.27,0.26,4.13B
31,1/1/03,0.24,0.27,0.26,0.26,6.07B
30,12/1/02,0.25,0.29,0.26,0.28,4.54B
29,11/1/02,0.27,0.31,0.28,0.28,4.53B
28,10/1/02,0.24,0.29,0.29,0.26,6.63B
27,9/1/02,0.25,0.27,0.26,0.26,5.30B
26,8/1/02,0.25,0.29,0.26,0.27,5.17B
25,7/1/02,0.25,0.34,0.27,0.32,8.14B
24,6/1/02,0.29,0.42,0.32,0.42,8.73B
23,5/1/02,0.4,0.46,0.42,0.43,5.98B
22,4/1/02,0.41,0.47,0.43,0.42,6.43B
21,3/1/02,0.39,0.45,0.42,0.39,5.30B
20,2/1/02,0.37,0.46,0.39,0.43,7.84B
19,1/1/02,0.36,0.44,0.44,0.39,8.52B
18,12/1/01,0.36,0.43,0.39,0.38,4.63B
17,11/1/01,0.31,0.38,0.38,0.32,5.37B
16,10/1/01,0.26,0.35,0.31,0.28,7.57B
15,9/1/01,0.26,0.34,0.28,0.33,5.53B
14,8/1/01,0.31,0.36,0.33,0.34,5.13B
13,7/1/01,0.32,0.45,0.34,0.42,8.66B
12,6/1/01,0.35,0.45,0.42,0.36,7.69B
11,5/1/01,0.34,0.48,0.36,0.45,7.47B
10,4/1/01,0.33,0.48,0.46,0.39,11.19B
9,3/1/01,0.31,0.42,0.39,0.32,10.80B
8,2/1/01,0.32,0.39,0.33,0.37,7.07B
7,1/1/01,0.26,0.4,0.39,0.27,13.71B
6,12/1/00,0.24,0.31,0.27,0.3,8.86B
5,11/1/00,0.29,0.41,0.29,0.35,8.49B
4,10/1/00,0.31,0.48,0.35,0.48,21.91B
3,9/1/00,0.45,1.15,0.46,1.09,14.52B
2,8/1/00,0.79,1.1,1.09,0.9,5.64B
1,7/1/00,0.84,1.08,0.91,0.93,5.75B
0,6/1/00,0.72,1.03,0.94,0.73,8.11B
