,Date,Low,High,Price,Open,Vol.
286,4/1/24,496.3,526.93,497.53,526.32,6.36M
285,3/1/24,507.35,527.16,525.73,511.48,131.25M
284,2/1/24,486.16,512.63,510.45,486.92,92.28M
283,1/1/24,468.65,493.98,485.2,474.4,132.42M
282,12/1/23,456.45,479.79,477.63,457.89,111.64M
281,11/1/23,420.48,460.4,458.42,421.03,79.76M
280,10/1/23,411.02,440.05,419.94,428.49,118.54M
279,9/1/23,424.16,456.13,429.43,455.72,89.39M
278,8/1/23,435.29,459.62,452.69,458.74,80.98M
277,7/1/23,439.35,461.88,460.18,445.23,86.59M
276,6/1/23,418.7,446.61,445.71,419.96,92.17M
275,5/1/23,405.54,424.43,419.43,417.29,73.98M
274,4/1/23,405.54,417.74,417.66,410.71,67.62M
273,3/1/23,382.37,411.44,411.08,397.22,115.12M
272,2/1/23,395.48,420.25,397.97,407.1,77.06M
271,1/1/23,379.6,410.07,408.31,386.12,84.19M
270,12/1/22,376.49,411.94,384.21,410.68,102.83M
269,11/1/22,370.31,409.32,409.32,391.77,90.70M
268,10/1/22,349.53,391.15,387.79,362.55,104.71M
267,9/1/22,358.53,413.94,358.65,394.9,114.33M
266,8/1/22,397.09,434.03,397.18,411.34,93.48M
265,7/1/22,372.97,415.2,414.28,378.52,95.30M
264,6/1/22,364.03,419.29,379.15,416.99,146.30M
263,5/1/22,382.17,431.5,414.87,413.62,148.32M
262,4/1/22,412.98,459.79,413.56,455.26,120.87M
261,3/1/22,416.91,464.05,453.69,437,177.68M
260,2/1/22,412.4,460.14,438.72,452.69,164.98M
259,1/1/22,422.56,482.07,451.77,478.38,198.17M
258,12/1/21,450.74,481.09,476.99,463.45,142.13M
257,11/1/21,457.13,475.5,457.63,462.13,91.37M
256,10/1/21,428.01,461.39,460.99,432.7,82.76M
255,9/1/21,430.6,456.08,430.82,454.55,93.22M
254,8/1/21,438.01,455.09,453.71,442.28,79.19M
253,7/1/21,423.81,443.72,440.4,430.71,98.62M
252,6/1/21,416.48,430.62,429.92,424.24,86.56M
251,5/1/21,406.34,424.43,421.65,421.02,95.93M
250,4/1/21,399.66,422.28,418.88,399.88,97.18M
249,3/1/21,373.26,399.65,397.82,387.18,104.56M
248,2/1/21,372.7,395.65,381.77,375.17,65.57M
247,1/1/21,366.16,387.2,371.52,376.69,93.23M
246,12/1/20,363.38,376.04,375.39,366.9,93.15M
245,11/1/20,328.38,365.69,363.32,331.38,81.69M
244,10/1/20,323.72,355.25,327.62,338.83,79.60M
243,9/1/20,320.92,360.26,336.06,351.68,86.02M
242,8/1/20,329.06,352.77,350.77,329.66,59.16M
241,7/1/20,310.25,330.06,327.82,310.74,76.71M
240,6/1/20,296.49,324.55,309.69,304.64,115.51M
239,5/1/20,275,307.91,305.18,286.19,113.78M
238,4/1/20,244.62,295.84,291.16,248.76,166.95M
237,3/1/20,220.28,315.15,258.4,299.34,307.05M
236,2/1/20,286.7,340.63,295.91,324.81,125.63M
235,1/1/20,321.78,334.44,323.24,324.98,97.71M
234,12/1/19,308.46,325.19,323.24,316,82.25M
233,11/1/19,306.05,316.85,315.63,306.23,56.25M
232,10/1/19,286.03,305.8,304.55,298.99,82.63M
231,9/1/19,290.55,303.98,298.11,291.86,77.18M
230,8/1/19,282.95,302.19,293.87,298.91,104.78M
229,7/1/19,295.61,303.56,298.82,297.96,74.08M
228,6/1/19,274.52,296.79,294.35,276.77,76.73M
227,5/1/19,276.73,296.52,276.92,296.32,85.68M
226,4/1/19,285.96,296.05,295.53,286.25,73.74M
225,3/1/19,273.72,287,284.17,281.81,82.63M
224,2/1/19,269.1,282.67,279.94,271.43,81.75M
223,1/1/19,244.74,271.66,271.18,247.2,106.75M
222,12/1/18,235.14,282.19,251.27,282.04,169.41M
221,11/1/18,264.66,282.94,277.62,273.29,100.76M
220,10/1/18,261.49,295,272.39,293.9,126.65M
219,9/1/18,288.37,296.28,292.33,291.54,67.04M
218,8/1/18,280.74,293.43,292.04,283.07,73.46M
217,7/1/18,270.73,285.99,282.89,270.99,69.14M
216,6/1/18,269.95,281.05,272.68,273.94,80.14M
215,5/1/18,260.45,275.79,272.36,265.42,64.31M
214,4/1/18,256.08,272.77,265.95,264.01,78.64M
213,3/1/18,259.25,282.11,265.01,273.09,108.27M
212,2/1/18,254.42,284.77,272.97,282.77,144.53M
211,1/1/18,269,288.29,283.76,269.47,96.34M
210,12/1/17,262.21,271.47,268.48,266.24,82.59M
209,11/1/17,257.03,267.5,266.52,259.43,66.26M
208,10/1/17,252.76,259.28,258.46,252.84,73.53M
207,9/1/17,246.28,252.81,252.58,249.29,72.16M
206,8/1/17,243.12,250.26,248.8,248.81,66.56M
205,7/1/17,241.63,249.34,248.12,244.17,62.49M
204,6/1/17,241.25,247.15,243.08,243.14,80.92M
203,5/1/17,236.59,243.28,242.57,239.86,70.59M
202,4/1/17,233.7,240.72,239.23,237,68.09M
201,3/1/17,232.78,241.48,236.95,239.53,86.82M
200,2/1/17,227.91,238.45,237.7,229.38,54.67M
199,1/1/17,224.93,230.78,228.62,226.09,72.41M
198,12/1/16,220.12,229.38,224.68,221.67,86.69M
197,11/1/16,209.28,222.79,221.23,213.84,109.80M
196,10/1/16,212.12,217.63,213.4,216.73,68.31M
195,9/1/16,213.25,220.18,217.26,218.34,78.62M
194,8/1/16,215.52,220.58,218.35,218.17,55.84M
193,7/1/16,207.96,218.49,218.07,210.26,73.63M
192,6/1/16,199.52,213.35,210.21,209.96,98.67M
191,5/1/16,203.52,211.51,210.68,207.73,63.99M
190,4/1/16,203.85,211.71,207.18,205.13,68.69M
189,3/1/16,195.2,207.63,206.37,195.75,85.54M
188,2/1/16,181.77,197.41,194.24,193.21,91.28M
187,1/1/16,181.65,202.6,194.35,201.19,128.91M
186,12/1/15,200.82,211.91,204.59,210.35,121.42M
185,11/1/15,203.03,212.58,209.58,209.23,76.60M
184,10/1/15,189.93,210.32,208.76,192.88,88.75M
183,9/1/15,187.71,203.77,192.45,194.01,144.91M
182,8/1/15,147.01,212.29,198.48,211.41,122.81M
181,7/1/15,205.09,214.17,211.47,208.79,81.92M
180,6/1/15,206.27,214.78,206.94,213.06,72.81M
179,5/1/15,207.86,214.94,212.29,210.52,60.32M
178,4/1/15,205.6,213.59,209.56,207.49,63.80M
177,3/1/15,205.22,213.27,207.55,211.98,86.46M
176,2/1/15,199,213.45,211.92,201.2,75.70M
175,1/1/15,199.67,208.03,200.6,207.56,118.71M
174,12/1/14,198.89,210.52,206.59,207.53,103.43M
173,11/1/14,201.11,208.98,208.29,202.94,76.43M
172,10/1/14,182.88,202.9,202.71,197.77,146.93M
171,9/1/14,197.09,203.72,197.99,202.04,74.73M
170,8/1/14,191.52,201.85,201.68,193.55,69.41M
169,7/1/14,193.98,200.08,193.98,197.21,82.47M
168,6/1/14,192.9,197.98,196.73,193.89,54.95M
167,5/1/14,186.89,193.73,193.6,189.12,64.36M
166,4/1/14,182.16,190.59,189.28,188.48,66.96M
165,3/1/14,184.6,189.87,187.88,185.51,110.11M
164,2/1/14,174.48,188.02,187.08,178.73,114.49M
163,1/1/14,177.66,185.77,178.92,184.79,111.48M
162,12/1/13,177.98,185.49,185.4,181.86,88.86M
161,11/1/13,175.5,182.52,181.71,176.78,76.96M
160,10/1/13,165.21,178.25,176.45,168.82,107.28M
159,9/1/13,164.33,174.31,168.67,165.85,85.11M
158,8/1/13,163.68,171.64,164.17,170.65,79.25M
157,7/1/13,160.85,170.53,169.32,161.9,114.88M
156,6/1/13,157.13,166.68,160.66,164.43,110.22M
155,5/1/13,158.67,169.7,164.08,159.91,101.29M
154,4/1/13,154.1,160.29,160.23,157.16,78.84M
153,3/1/13,150.96,157.4,157.14,151.63,87.29M
152,2/1/13,149.29,153.86,152.29,151.15,70.71M
