,Date,Low,High,Price,Open,Vol.
286,4/1/24,397.77,429.34,399.12,423.24,30.57M
285,3/1/24,398.39,430.82,420.72,411.27,426.45M
284,2/1/24,397.22,420.82,413.64,401.83,443.98M
283,1/1/24,366.5,415.32,397.58,373.86,527.40M
282,12/1/23,362.9,378.16,376.04,376.76,522.08M
281,11/1/23,339.65,384.3,378.91,339.79,562.96M
280,10/1/23,311.21,346.2,338.11,316.28,540.96M
279,9/1/23,309.45,340.86,315.75,331.31,416.77M
278,8/1/23,311.55,338.54,327.76,335.19,479.67M
277,7/1/23,327,366.78,335.92,339.19,666.96M
276,6/1/23,322.5,351.47,340.54,325.93,547.75M
275,5/1/23,303.4,335.94,328.39,306.97,600.86M
274,4/1/23,275.37,308.93,307.26,286.52,551.52M
273,3/1/23,245.61,289.27,288.3,250.76,747.75M
272,2/1/23,245.47,276.76,249.42,248,615.54M
271,1/1/23,219.35,249.83,247.81,243.08,666.17M
270,12/1/22,233.87,263.92,239.82,253.87,591.37M
269,11/1/22,213.43,255.33,255.14,234.6,615.33M
268,10/1/22,219.13,251.04,232.13,235.41,671.37M
267,9/1/22,232.73,267.45,232.9,258.87,575.60M
266,8/1/22,260.66,294.18,261.47,277.82,477.18M
265,7/1/22,245.94,282,280.74,256.39,534.99M
264,6/1/22,241.51,277.69,256.83,275.2,621.50M
263,5/1/22,246.44,290.88,271.87,277.71,742.90M
262,4/1/22,270,315.11,277.52,309.37,627.39M
261,3/1/22,270,315.95,308.31,296.4,734.35M
260,2/1/22,271.52,315.12,298.79,310.41,697.37M
259,1/1/22,276.05,338,310.98,335.35,947.99M
258,12/1/21,317.25,344.3,336.32,335.13,625.97M
257,11/1/21,326.37,349.67,330.59,331.36,509.89M
256,10/1/21,280.25,332,331.62,282.12,516.52M
255,9/1/21,281.62,305.32,281.92,302.86,502.93M
254,8/1/21,283.74,305.84,301.88,286.36,441.33M
253,7/1/21,269.6,290.15,284.91,269.61,522.69M
252,6/1/21,243,271.65,270.9,251.23,508.57M
251,5/1/21,238.07,254.35,249.68,253.4,495.09M
250,4/1/21,238.05,263.19,252.18,238.47,568.70M
249,3/1/21,224.26,241.05,235.77,235.9,724.98M
248,2/1/21,227.88,246.13,232.38,235.06,490.98M
247,1/1/21,211.94,242.64,231.96,222.53,648.00M
246,12/1/20,209.11,227.18,222.42,214.51,594.57M
245,11/1/20,200.12,228.12,214.07,204.29,573.47M
244,10/1/20,199.62,225.21,202.47,213.49,631.67M
243,9/1/20,196.25,232.86,210.33,225.51,768.53M
242,8/1/20,203.14,231.15,225.53,211.52,692.50M
241,7/1/20,197.51,216.38,205.01,203.14,770.51M
240,6/1/20,181.35,204.4,203.51,182.54,765.01M
239,5/1/20,173.8,187.51,183.25,175.8,688.96M
238,4/1/20,150.36,180.4,179.21,153,984.81M
237,3/1/20,132.52,175,157.71,165.31,1.61B
236,2/1/20,152,190.7,162.01,170.43,887.89M
235,1/1/20,156.51,174.05,170.23,158.78,559.25M
234,12/1/19,146.65,159.55,157.7,151.81,452.66M
233,11/1/19,142.96,152.5,151.38,144.26,393.03M
232,10/1/19,133.22,145.67,143.37,139.66,563.29M
231,9/1/19,134.51,142.37,139.03,136.61,477.65M
230,8/1/19,130.78,140.94,137.86,137,585.58M
229,7/1/19,134.67,141.68,136.27,136.63,484.55M
228,6/1/19,119.01,138.4,133.96,123.85,508.32M
227,5/1/19,123.04,130.65,123.68,130.53,547.22M
226,4/1/19,118.1,131.37,130.6,118.95,433.16M
225,3/1/19,108.8,120.82,117.94,112.89,589.05M
224,2/1/19,102.35,113.24,112.03,103.78,469.10M
223,1/1/19,97.2,107.9,104.43,99.55,714.20M
222,12/1/18,93.96,113.42,101.57,113,944.29M
221,11/1/18,99.35,112.24,110.89,107.05,720.23M
220,10/1/18,100.11,116.18,106.81,114.75,927.55M
219,9/1/18,107.23,115.29,114.37,110.85,480.26M
218,8/1/18,104.84,112.78,112.33,106.03,456.63M
217,7/1/18,98,111.15,106.08,98.1,569.50M
216,6/1/18,97.26,102.69,98.61,99.28,602.59M
215,5/1/18,92.45,99.99,98.84,93.21,509.42M
214,4/1/18,87.51,97.9,93.52,90.47,668.26M
213,3/1/18,87.08,97.24,91.27,93.99,750.75M
212,2/1/18,83.83,96.07,93.77,94.79,725.66M
211,1/1/18,85.5,95.45,95.01,86.13,574.26M
210,12/1/17,80.7,87.5,85.54,83.6,466.20M
209,11/1/17,82.24,85.06,84.17,83.68,421.93M
208,10/1/17,73.71,86.2,83.18,74.71,449.95M
207,9/1/17,72.92,75.97,74.49,74.71,376.67M
206,8/1/17,71.28,74.96,74.77,73.1,442.76M
205,7/1/17,68.02,74.42,72.7,69.33,469.85M
204,6/1/17,68.09,72.89,68.93,70.24,629.72M
203,5/1/17,67.14,70.74,69.84,68.68,517.29M
202,4/1/17,64.85,69.14,68.46,65.81,433.19M
201,3/1/17,63.62,66.19,65.86,64.13,489.17M
200,2/1/17,62.75,65.24,63.98,64.36,440.74M
199,1/1/17,61.95,65.91,64.65,62.79,494.44M
198,12/1/16,58.8,64.1,62.14,60.11,513.58M
197,11/1/16,57.28,61.41,60.26,59.97,613.06M
196,10/1/16,56.31,61.37,59.92,57.4,614.84M
195,9/1/16,55.61,58.19,57.6,57.01,526.86M
194,8/1/16,56.14,58.7,57.46,56.6,467.08M
193,7/1/16,50.39,57.29,56.68,51.13,647.59M
192,6/1/16,48.03,52.95,51.17,52.44,823.99M
191,5/1/16,49.46,53,53,50,530.87M
190,4/1/16,49.35,56.77,49.87,55.05,699.03M
189,3/1/16,50.58,55.64,55.23,50.97,641.13M
188,2/1/16,48.19,55.09,50.88,54.88,814.77M
187,1/1/16,49.1,55.39,55.09,54.32,927.91M
186,12/1/15,53.68,56.85,55.48,54.41,793.07M
185,11/1/15,52.53,54.98,54.35,52.85,662.63M
184,10/1/15,43.75,54.37,52.64,44.75,857.33M
183,9/1/15,41.66,45,44.26,42.17,673.08M
